city_codes,beds,baths,size,price
24,4,3,2475,425000
122,3,3.1,2075,399000
282,3,3,1915,423000
282,3,2.1,2570,439000
163,2,2,1104,395000
24,4,3,3071,395000
24,4,3.1,2368,399990
56,5,4,3538,450000
367,3,2,2638,424998
282,4,3.1,3744,445000
282,4,4.1,5300,449000
282,4,3.1,2753,425000
282,4,4.1,3855,425000
220,4,4,1687,400000
282,4,2.1,2962,490000
24,4,2.1,3136,469000
129,3,3,2503,449000
24,4,3.1,3578,449900
24,10,8,3784,475000
24,4,3,2521,475000
282,3,2,2150,495500
367,5,2.1,3752,489000
56,5,4,3538,450000
282,4,3.1,3744,445000
282,4,4.1,5300,449000
122,3,2,1200,485000
282,5,3.1,3300,499000
282,3,3.1,2475,535000
282,3,2,2150,495500
56,3,2.1,2040,550000
367,3,2.1,3443,545000
56,3,2.1,2040,550000
312,6,5,3942,550000
20,4,3,2785,550000
282,5,4.1,5322,549000
24,5,2.1,3103,550000
28,4,3,3001,545000
409,3,3,2466,524000
282,5,3.1,3300,499000
56,3,2.1,2040,550000
367,3,2.1,3443,545000
56,3,2.1,2040,550000
312,6,5,3942,550000
20,4,3,2785,550000
282,5,4.1,5322,549000
24,5,2.1,3103,550000
28,4,3,3001,545000
56,2,1,1480,599000
24,6,3,2730,649999
24,4,3,3472,619999
367,4,3,4510,645000
56,2,1,1480,599000
24,6,3,2730,649999
24,2,1,1092,699000
20,4,4,4111,699000
367,4,3,4510,645000
122,4,2,3383,715000
156,5,3,3000,750000
24,4,2.1,3221,747000
24,5,4,5085,719000
24,2,1,1092,699000
20,4,4,4111,699000
24,5,3,5832,799500
156,5,3,3000,750000
24,4,2.1,2901,799000
24,4,2.1,3221,747000
24,5,4.1,4481,760000
24,5,3,5832,799500
24,4,2.1,2901,799000
122,4,3.2,4390,829000
24,7,4.1,5082,949000
164,3,2,2686,995000
360,3,2,2185,1095000
360,3,2,1671,1225000
126,3,2,1635,1075000
106,3,3,1980,1449700
301,4,2,2100,1049000
410,4,3,2568,1100000
223,6,5,2625,1080000
207,2,2,1834,1395000
94,3,3,1382,1229000
410,4,4,2308,1195000
204,4,2,2055,1195000
395,4,4,3348,1033000
207,3,2,2162,1299000
207,3,2.1,1970,1175000
315,4,3,3219,1038000
207,2,1,1054,999999
204,5,4,3850,1423500
207,3,2,1646,1079000
292,4,5,3923,1149000
239,3,3,2176,1089000
91,4,4,3212,1188000
337,2,1,1064,1450000
328,3,2,1509,1188000
410,3,3,2338,1095000
207,2,1,957,1499000
207,3,2,1623,1075000
3,4,3,3003,1130000
359,4,3,3193,1097000
