,Unnamed: 0,city_codes,beds,baths,size,price
176,176,282,3,1.2,2304,329900
177,177,282,3,2.1,1640,335000
178,178,122,3,2.1,1558,295000
179,179,24,4,3.0,1982,299900
180,180,367,3,2.0,1883,329000
181,181,45,3,2.0,1800,299000
182,182,24,5,4.0,3865,349900
183,183,312,4,3.1,1987,316900
184,184,24,3,2.0,2248,336800
185,185,24,5,3.0,2972,349000
186,186,367,4,2.0,1962,329999
187,187,122,4,2.1,1856,328000
188,188,367,4,2.0,2065,317000
189,189,196,3,3.0,2479,299500
190,190,282,3,2.1,2072,338000
191,191,282,2,1.0,852,350000
192,192,282,3,2.0,2380,349000
193,193,367,5,3.1,2725,345000
194,194,282,3,2.0,1459,299000
195,195,57,3,2.1,2214,314900
196,196,282,3,2.1,1728,299000
197,197,308,6,4.0,2608,339900
198,198,24,3,2.0,1840,324999
199,199,367,3,2.1,3046,349000
200,200,282,4,3.0,2300,299000
201,201,282,4,3.0,1680,329000
202,202,367,3,1.0,1368,300000
203,203,312,4,2.1,2700,360000
204,204,282,3,2.0,1958,398500
205,205,196,2,2.0,1644,369000
206,206,367,3,3.0,2052,365000
207,207,367,3,3.0,1656,355000
208,208,24,3,2.1,2296,388000
209,209,122,4,2.0,2216,349000
210,210,24,4,3.1,3249,399000
211,211,24,5,3.0,3188,399900
212,212,282,4,4.0,2523,375888
213,213,282,3,2.0,1837,357000
214,214,164,3,2.1,2125,389900
215,215,312,4,2.1,2498,349990
216,216,367,3,2.0,2325,369900
217,217,312,5,3.1,2637,350000
218,218,367,4,2.0,2252,388950
219,219,282,3,2.1,2000,399000
220,220,24,5,3.1,2527,359900
221,221,367,3,2.0,1762,365000
222,222,122,4,4.0,2900,359000
223,223,196,3,2.0,2287,369963
224,224,122,4,3.1,2546,379900
225,225,122,3,3.1,2075,399000
226,226,24,5,4.0,3865,349900
227,227,24,5,3.0,2972,349000
228,228,367,4,2.0,2372,374000
229,229,312,5,3.0,2760,375000
230,230,282,3,2.1,2230,369900
231,231,163,2,2.0,1104,395000
232,232,282,4,3.0,2570,369900
233,233,24,4,3.0,3071,395000
234,234,24,4,3.0,2592,379900
235,235,24,4,3.1,2368,399990
236,236,282,2,1.0,852,350000
237,237,282,3,2.0,2380,349000
238,238,367,5,3.1,2725,345000
239,239,282,3,2.1,2196,356900
240,240,122,3,3.0,2389,389000
241,241,122,4,3.0,2746,379000
242,242,367,3,2.1,3046,349000
243,243,220,4,4.0,1687,400000
244,244,282,3,2.0,1958,398500
245,245,367,3,2.1,2753,439000
246,246,129,3,3.0,2503,449000
247,247,24,4,3.1,3249,399000
248,248,24,4,3.1,3578,449900
249,249,24,5,3.0,3188,399900
250,250,24,4,2.1,2496,419000
251,251,122,3,2.0,2620,439000
252,252,367,3,3.0,2265,429000
253,253,282,3,2.1,2000,399000
254,254,24,4,3.0,2475,425000
255,255,122,3,3.1,2075,399000
256,256,282,3,3.0,1915,423000
257,257,282,3,2.1,2570,439000
258,258,163,2,2.0,1104,395000
259,259,24,4,3.0,3071,395000
260,260,24,4,3.1,2368,399990
261,261,56,5,4.0,3538,450000
262,262,367,3,2.0,2638,424998
263,263,282,4,3.1,3744,445000
264,264,282,4,4.1,5300,449000
265,265,282,4,3.1,2753,425000
266,266,282,4,4.1,3855,425000
267,267,220,4,4.0,1687,400000
268,268,282,4,2.1,2962,490000
269,269,24,4,2.1,3136,469000
270,270,129,3,3.0,2503,449000
271,271,24,4,3.1,3578,449900
272,272,24,10,8.0,3784,475000
273,273,24,4,3.0,2521,475000
274,274,282,3,2.0,2150,495500
275,275,367,5,2.1,3752,489000
276,276,56,5,4.0,3538,450000
277,277,282,4,3.1,3744,445000
278,278,282,4,4.1,5300,449000
279,279,122,3,2.0,1200,485000
280,280,282,5,3.1,3300,499000
281,281,282,3,3.1,2475,535000
282,282,282,3,2.0,2150,495500
283,283,56,3,2.1,2040,550000
284,284,367,3,2.1,3443,545000
285,285,56,3,2.1,2040,550000
286,286,312,6,5.0,3942,550000
287,287,20,4,3.0,2785,550000
288,288,282,5,4.1,5322,549000
289,289,24,5,2.1,3103,550000
290,290,28,4,3.0,3001,545000
291,291,409,3,3.0,2466,524000
292,292,282,5,3.1,3300,499000
293,293,56,3,2.1,2040,550000
294,294,367,3,2.1,3443,545000
295,295,56,3,2.1,2040,550000
296,296,312,6,5.0,3942,550000
297,297,20,4,3.0,2785,550000
298,298,282,5,4.1,5322,549000
299,299,24,5,2.1,3103,550000
300,300,28,4,3.0,3001,545000
301,301,56,2,1.0,1480,599000
302,302,24,6,3.0,2730,649999
303,303,24,4,3.0,3472,619999
304,304,367,4,3.0,4510,645000
305,305,56,2,1.0,1480,599000
306,306,24,6,3.0,2730,649999
307,307,24,2,1.0,1092,699000
308,308,20,4,4.0,4111,699000
309,309,367,4,3.0,4510,645000
310,310,122,4,2.0,3383,715000
311,311,156,5,3.0,3000,750000
312,312,24,4,2.1,3221,747000
313,313,24,5,4.0,5085,719000
314,314,24,2,1.0,1092,699000
315,315,20,4,4.0,4111,699000
316,316,24,5,3.0,5832,799500
317,317,156,5,3.0,3000,750000
318,318,24,4,2.1,2901,799000
319,319,24,4,2.1,3221,747000
320,320,24,5,4.1,4481,760000
321,321,24,5,3.0,5832,799500
322,322,24,4,2.1,2901,799000
323,323,122,4,3.2,4390,829000
324,324,24,7,4.1,5082,949000
325,325,164,3,2.0,2686,995000
326,326,360,3,2.0,2185,1095000
327,327,360,3,2.0,1671,1225000
328,328,126,3,2.0,1635,1075000
329,329,106,3,3.0,1980,1449700
330,330,301,4,2.0,2100,1049000
331,331,410,4,3.0,2568,1100000
332,332,223,6,5.0,2625,1080000
333,333,207,2,2.0,1834,1395000
334,334,94,3,3.0,1382,1229000
335,335,410,4,4.0,2308,1195000
336,336,204,4,2.0,2055,1195000
337,337,395,4,4.0,3348,1033000
338,338,207,3,2.0,2162,1299000
339,339,207,3,2.1,1970,1175000
340,340,315,4,3.0,3219,1038000
341,341,207,2,1.0,1054,999999
342,342,204,5,4.0,3850,1423500
343,343,207,3,2.0,1646,1079000
344,344,292,4,5.0,3923,1149000
345,345,239,3,3.0,2176,1089000
346,346,91,4,4.0,3212,1188000
347,347,337,2,1.0,1064,1450000
348,348,328,3,2.0,1509,1188000
349,349,410,3,3.0,2338,1095000
350,350,207,2,1.0,957,1499000
351,351,207,3,2.0,1623,1075000
352,352,3,4,3.0,3003,1130000
353,353,359,4,3.0,3193,1097000
354,354,165,3,2.0,1302,999999
355,355,16,4,3.0,2406,1348000
356,356,274,4,3.0,1874,1150000
357,357,112,2,1.0,1057,1400000
358,358,274,4,3.0,3122,1499900
359,359,274,6,4.0,3145,1077500
360,360,315,4,3.0,2866,1200000
361,361,395,4,3.0,2484,1150000
362,362,111,6,3.0,3129,995900
363,363,376,4,2.0,1923,1095000
364,364,207,3,2.0,1758,1200000
365,365,360,3,2.0,1250,1175000
366,366,207,2,2.0,1713,1329500
367,367,207,3,2.0,1600,1199000
368,368,204,3,1.0,1883,1200000
369,369,207,2,2.0,1072,1099000
370,370,94,2,1.0,1034,1050000
371,371,207,3,2.0,1426,1198000
372,372,410,3,2.0,2021,1275000
373,373,10,3,4.0,2937,1200000
374,374,207,3,2.0,1293,1198900
375,375,204,3,1.1,1432,1299000
376,376,410,4,2.1,2364,1050000
377,377,410,3,4.0,2890,1475000
378,378,114,3,2.0,1445,1150000
379,379,207,3,2.0,1400,1395000
380,380,103,4,5.0,4329,1400000
381,381,207,3,2.0,1771,1195000
382,382,410,4,5.0,2934,1249000
383,383,274,3,2.1,2569,1250000
384,384,301,3,2.0,1612,1289000
385,385,204,7,6.0,3200,1450000
386,386,410,6,3.1,3070,1350000
387,387,207,3,2.0,1677,1149000
388,388,346,2,2.0,1628,995000
389,389,207,3,2.1,1223,999999
390,390,207,2,1.1,1274,1325000
391,391,207,2,2.1,1774,1125000
392,392,204,3,3.0,2596,1250000
393,393,126,3,2.0,1861,1184888
394,394,221,4,5.1,3677,1329900
395,395,114,5,4.0,2200,999000
396,396,207,4,2.1,2031,1380000
397,397,410,4,4.1,3154,1119000
398,398,207,4,3.0,2500,1255000
399,399,247,4,3.0,3176,999900
400,400,274,3,2.0,1052,995000
401,401,376,5,3.0,2388,1399000
402,402,207,3,2.0,1827,1350000
403,403,3,5,3.1,3146,1249000
404,404,126,4,2.1,2398,1349000
405,405,364,4,5.0,3343,995000
406,406,221,4,2.1,2680,1138000
407,407,207,3,3.0,1954,1075000
408,408,410,5,4.0,3009,1254888
409,409,23,5,4.1,4584,1349000
410,410,315,4,3.0,3126,1148000
411,411,126,3,3.1,2106,1349900
412,412,94,2,1.0,1053,1050000
413,413,385,4,3.0,2324,1174950
414,414,274,4,2.0,2097,1259000
415,415,410,5,3.1,2862,1349000
416,416,70,5,4.1,3154,1160000
417,417,16,3,2.0,2074,1299990
418,418,221,3,2.1,2728,1250000
419,419,16,5,6.0,3543,1350000
420,420,204,3,2.0,1817,1189000
421,421,366,4,3.0,2455,1295000
422,422,52,4,3.0,2012,1099000
423,423,410,3,2.1,2061,1250000
424,424,102,5,6.0,3467,1480000
425,425,136,5,6.0,5629,1480000
426,426,207,3,2.0,1700,1395000
427,427,114,3,2.1,2202,1195000
428,428,207,5,5.0,3506,1395000
429,429,207,3,2.0,1467,1495000
430,430,63,4,3.1,3144,1050000
431,431,204,5,4.0,2126,1299000
432,432,207,3,4.0,1859,1199000
433,433,364,4,2.0,1990,1135000
434,434,165,3,2.0,1818,1399000
435,435,207,3,2.0,1530,995000
436,436,16,3,2.0,1973,1258888
437,437,387,4,4.0,2619,1099000
438,438,207,5,3.0,2142,1100000
439,439,52,4,4.0,2097,1445000
440,440,410,4,3.2,2481,999999
441,441,207,3,1.0,1200,1090000
442,442,207,5,3.1,2374,1350000
443,443,165,3,2.0,1432,1395000
444,444,204,2,2.0,1145,1100000
445,445,397,5,2.0,2843,1050000
446,446,126,3,2.0,1391,1050000
447,447,346,3,2.1,2706,1479900
448,448,337,2,1.0,860,1395000
449,449,347,3,2.0,1641,1125000
450,450,204,4,3.0,4051,1295000
451,451,366,5,4.1,3262,1349000
452,452,366,3,2.0,1890,998000
453,453,6,5,3.0,2629,1088000
454,454,395,3,3.0,2479,998000
455,455,207,5,1.1,2252,1199000
456,456,315,5,4.1,3300,1350000
457,457,207,3,2.0,1554,1050000
458,458,35,2,2.0,1200,1150000
459,459,366,3,2.0,1764,1189000
460,460,207,4,2.1,2092,1100000
461,461,207,6,3.0,3439,1250000
462,462,207,4,3.1,3101,1400000
463,463,94,2,2.0,1319,1029999
464,464,346,3,2.1,1875,1399000
465,465,347,2,2.0,1262,1100000
466,466,207,3,3.0,2186,1410000
467,467,207,2,2.1,1538,1175000
468,468,207,4,3.1,2433,1449000
469,469,376,4,2.0,1784,1120000
470,470,207,2,2.0,2024,1499000
471,471,204,4,3.0,2013,995000
472,472,389,1,1.0,499,1194000
473,473,346,3,2.0,1942,1298000
474,474,207,4,3.0,2340,1399000
475,475,207,4,3.0,2162,1479000
476,476,207,2,2.0,1163,999000
477,477,207,4,2.0,2578,1349000
478,478,410,4,3.1,2830,1299000
479,479,274,4,4.0,2730,1788800
480,480,155,4,3.0,3415,1899999
481,481,400,3,2.0,2200,1750000
482,482,386,6,4.1,3936,1800000
483,483,207,4,3.0,2425,1699000
484,484,207,3,2.0,1928,1925000
485,485,207,2,2.0,1267,1699000
486,486,10,4,4.1,3198,1600000
487,487,127,4,4.1,4472,1612990
488,488,323,4,4.0,2825,1800000
489,489,207,2,1.0,957,1499000
490,490,389,2,2.0,1600,1700000
491,491,155,4,2.0,2900,1600000
492,492,204,3,2.0,1550,1590000
493,493,274,4,3.0,3122,1499900
494,494,360,3,2.0,1762,1585000
495,495,136,7,5.2,5326,1588000
496,496,176,5,6.1,5640,1748800
497,497,207,4,1.1,2317,1518800
498,498,410,4,2.1,3500,1699000
499,499,207,3,2.0,1776,1650000
500,500,207,3,2.0,2200,1795000
501,501,346,5,4.1,4380,1898000
502,502,212,3,2.0,1872,1995000
503,503,207,3,3.0,2555,1899000
504,504,207,4,3.0,1820,1599000
505,505,126,5,3.1,5001,1595000
506,506,301,3,3.0,3050,1790000
507,507,386,4,3.0,2142,1549000
508,508,136,4,6.0,4351,1680000
509,509,207,3,2.1,2092,1649999
510,510,207,3,2.1,1996,1999999
511,511,301,4,2.1,2109,1898000
512,512,346,4,4.1,3181,1899900
513,513,207,4,3.0,2089,1650000
514,514,207,4,4.0,2100,1550000
515,515,274,5,5.0,4614,1698000
516,516,305,4,3.0,1718,1599000
517,517,221,4,4.1,3495,1739000
518,518,207,4,2.0,2562,1995000
519,519,301,4,4.1,3583,1888000
520,520,207,3,2.0,1467,1495000
521,521,301,4,3.1,2788,1890000
522,522,207,4,3.0,2580,1695000
523,523,289,3,3.0,2852,1695000
524,524,126,4,4.0,3038,1995000
525,525,16,2,2.0,2595,1980000
526,526,16,4,2.0,2029,1898000
527,527,301,3,2.0,1922,1550000
528,528,269,5,2.1,3146,1849000
529,529,404,7,3.0,2101,1599900
530,530,346,3,2.0,2077,1699000
531,531,346,3,3.0,2500,1699000
532,532,63,3,2.0,1857,1900000
533,533,207,4,2.1,1953,1795000
534,534,207,3,2.0,2029,1595000
535,535,52,4,3.0,2300,1599000
536,536,290,6,5.0,4605,1600000
537,537,207,3,3.1,2367,1649000
538,538,389,3,2.0,1250,1550000
539,539,374,3,2.1,2641,1549000
540,540,344,6,7.0,5265,1980000
541,541,328,4,2.0,2334,1799000
542,542,292,5,4.0,3363,1649995
543,543,204,3,4.0,2196,1599000
544,544,305,2,1.0,878,1550000
545,545,102,6,6.1,4990,1999000
546,546,207,2,2.0,2024,1499000
547,547,207,3,2.0,1723,1600000
548,548,389,1,1.0,848,1645000
549,549,207,3,2.0,2013,1752000
550,550,389,3,2.0,1600,1625000
551,551,207,3,3.0,2318,1570000
552,552,35,3,2.0,1530,1795000
553,553,274,3,2.0,2358,1599000
554,554,35,3,2.1,1360,1599000
555,555,142,3,2.0,1894,1499000
556,556,207,3,3.1,1816,1995000
557,557,395,5,4.0,4201,1550000
